,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,Blackburn,Derby,0.6666666666666666,0.3333333333333333,H,0.3333333333333333,0.0,H,J Smith,0.31034482758620685,0.42857142857142855,0.5833333333333333,0.4,0.2777777777777778,0.33333333333333337,0.0625,0.6,0.16666666666666666,0.42857142857142855,0.0,0.0
1,Preston,Sheffield United,0.0,0.3333333333333333,A,0.0,0.3333333333333333,A,R Madley,0.3448275862068966,0.39285714285714285,0.16666666666666666,0.30000000000000004,0.38888888888888884,0.5555555555555555,0.1875,0.4,0.16666666666666666,0.0,0.0,0.0
2,Cardiff,Sunderland,0.0,0.3333333333333333,A,0.0,0.3333333333333333,A,A Davies,0.3448275862068966,0.39285714285714285,0.3333333333333333,0.4,0.33333333333333337,0.2222222222222222,0.25,0.26666666666666666,0.0,0.2857142857142857,0.0,0.0
3,Hull,Bristol City,0.16666666666666666,0.16666666666666666,D,0.0,0.0,D,K Stroud,0.31034482758620685,0.5357142857142857,0.41666666666666663,0.30000000000000004,0.33333333333333337,0.5,0.125,0.5333333333333333,0.0,0.2857142857142857,0.0,0.0
4,Leeds,Portsmouth,0.5,0.5,D,0.3333333333333333,0.6666666666666666,A,O Langford,0.689655172413793,0.17857142857142855,0.8333333333333333,0.4,0.8333333333333334,0.9444444444444443,0.75,0.0,0.3333333333333333,0.5714285714285714,0.0,0.0
5,Middlesbrough,Swansea,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,S Allison,0.5517241379310345,0.17857142857142855,0.3333333333333333,0.0,0.5555555555555555,0.4444444444444444,0.375,0.6,0.16666666666666666,0.5714285714285714,0.0,0.0
6,Millwall,Watford,0.3333333333333333,0.5,A,0.0,0.3333333333333333,A,J Busby,0.48275862068965514,0.3571428571428571,0.3333333333333333,0.5,0.38888888888888884,0.611111111111111,0.3125,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.0,0.0
7,Oxford,Norwich,0.3333333333333333,0.0,H,0.3333333333333333,0.0,H,A Kitchen,0.3448275862068966,0.3571428571428571,0.3333333333333333,0.2,0.0,0.5555555555555555,0.3125,0.3333333333333333,0.16666666666666666,0.42857142857142855,0.0,0.0
8,QPR,West Brom,0.16666666666666666,0.5,A,0.3333333333333333,0.3333333333333333,D,D Webb,0.31034482758620685,0.25,0.5,0.4,0.16666666666666663,0.16666666666666663,0.75,0.2,0.16666666666666666,0.0,0.0,0.0
9,Stoke,Coventry,0.16666666666666666,0.0,H,0.0,0.0,D,G Ward,0.31034482758620685,0.2857142857142857,0.16666666666666666,0.1,0.16666666666666663,0.2777777777777778,0.5625,0.4666666666666667,0.3333333333333333,0.14285714285714285,0.0,0.0
10,Sheffield Weds,Plymouth,0.6666666666666666,0.0,H,0.3333333333333333,0.0,H,L Smith,0.9999999999999999,0.17857142857142855,0.9166666666666666,0.1,0.611111111111111,0.5555555555555555,0.9375,0.06666666666666667,0.16666666666666666,0.14285714285714285,0.0,0.0
11,Luton,Burnley,0.16666666666666666,0.6666666666666666,A,0.0,0.6666666666666666,A,M Donohue,0.27586206896551724,0.39285714285714285,0.25,0.6000000000000001,0.38888888888888884,0.7222222222222222,0.3125,0.26666666666666666,0.3333333333333333,0.42857142857142855,0.0,0.0
12,Coventry,Oxford,0.5,0.3333333333333333,H,0.6666666666666666,0.3333333333333333,H,D Coote,0.8275862068965517,0.25,0.8333333333333333,0.2,0.2777777777777778,0.16666666666666663,0.875,0.06666666666666667,0.0,0.2857142857142857,0.0,0.0
13,Derby,Middlesbrough,0.16666666666666666,0.0,H,0.3333333333333333,0.0,H,R Madley,0.034482758620689655,0.7142857142857142,0.16666666666666666,0.4,0.5,0.05555555555555558,0.1875,0.5333333333333333,0.5,0.14285714285714285,0.0,0.0
