,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,Blackburn,Derby,2.1399667800559947,0.9361565231716394,H,0.4974371948107481,-0.6519380988208883,H,J Smith,-0.5039855356150788,0.4177085411219699,1.0158611025500355,0.34095242350492216,-0.6478361358897318,-0.5728527850980615,-1.551761201365725,1.6106045030064011,-0.7250142683710291,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
1,Preston,Sheffield United,-1.1878433314781656,0.9361565231716394,A,-0.8592097001276557,0.9338572766893806,A,R Madley,-0.31770751423784227,0.17038111545764553,-1.0113561752659999,-0.16209213576463527,-0.02921277005338329,0.4686977332620506,-0.935167346518417,0.47814821183002537,-0.7250142683710291,-1.8012627996523831,-0.21566554640687682,-0.25840283834906114
2,Cardiff,Sunderland,-1.1878433314781656,0.9361565231716394,A,-0.8592097001276557,0.9338572766893806,A,A Davies,-0.31770751423784227,0.17038111545764553,-0.20046926413958574,0.34095242350492216,-0.3385244529715575,-1.0936280442781174,-0.626870419094763,-0.27682264895422526,-1.4926764348815305,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
3,Hull,Bristol City,-0.35589080359462555,0.01028743432056743,D,-0.8592097001276557,-0.6519380988208883,D,K Stroud,-0.5039855356150788,1.1596908181149432,0.20497419142362136,-0.16209213576463527,-0.3385244529715575,0.2083101036720226,-1.243464273942071,1.233119072614276,-1.4926764348815305,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
4,Leeds,Portsmouth,1.3080142521724547,1.8620256120227114,D,0.4974371948107481,2.5196526521996496,A,O Langford,1.5450726995345228,-1.313583438528301,2.2321914692396567,0.34095242350492216,2.4452806932920104,2.291411140392247,1.8395050002944688,-1.7867643705227263,0.04264789813947232,1.3930948746080007,-0.21566554640687682,-0.25840283834906114
5,Middlesbrough,Swansea,-0.35589080359462555,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,S Allison,0.7999606140255767,-1.313583438528301,-0.20046926413958574,-1.6712258135733076,0.8987222787011393,-0.05207752591800542,-0.010276564247455097,1.6106045030064011,-0.7250142683710291,1.3930948746080007,-0.21566554640687682,-0.25840283834906114
6,Millwall,Watford,0.4760617242889146,1.8620256120227114,A,-0.8592097001276557,0.9338572766893806,A,J Busby,0.4274045712711037,-0.07694631020667887,-0.20046926413958574,0.8439969827744795,-0.02921277005338329,0.7290853628520787,-0.31857349167110904,0.10066278143790006,0.04264789813947232,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
7,Oxford,Norwich,0.4760617242889146,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,A Kitchen,-0.31770751423784227,-0.07694631020667887,-0.20046926413958574,-0.6651366950341927,-2.194394550480603,0.4686977332620506,-0.31857349167110904,0.10066278143790006,-0.7250142683710291,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
8,QPR,West Brom,-0.35589080359462555,1.8620256120227114,A,0.4974371948107481,0.9338572766893806,D,D Webb,-0.5039855356150788,-0.8189285871996521,0.6104176469868284,0.34095242350492216,-1.2664595017260802,-1.3540156738681455,1.8395050002944688,-0.6543080793463505,-0.7250142683710291,-1.8012627996523831,-0.21566554640687682,-0.25840283834906114
9,Stoke,Coventry,-0.35589080359462555,-0.9155816545305046,H,-0.8592097001276557,-0.6519380988208883,D,G Ward,-0.5039855356150788,-0.5716011615353277,-1.0113561752659999,-1.1681812543037502,-1.2664595017260802,-0.8332404146880895,0.9146142180235068,0.8556336422221507,0.04264789813947232,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
10,Sheffield Weds,Plymouth,2.1399667800559947,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,L Smith,3.2215748919296514,-1.313583438528301,2.637634924802864,-1.1681812543037502,1.2080339616193136,0.4686977332620506,2.7643957825654306,-1.4092789401306012,-0.7250142683710291,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
11,Luton,Burnley,-0.35589080359462555,2.7878947008737835,A,-0.8592097001276557,2.5196526521996496,A,M Donohue,-0.6902635569923153,0.17038111545764553,-0.6059127197027928,1.347041542044037,-0.02921277005338329,1.2498606220321347,-0.31857349167110904,-0.27682264895422526,0.04264789813947232,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
12,Coventry,Oxford,1.3080142521724547,0.9361565231716394,H,1.854084089749152,0.9338572766893806,H,D Coote,2.290184785043469,-0.8189285871996521,2.2321914692396567,-0.6651366950341927,-0.6478361358897318,-1.3540156738681455,2.456098855141777,-1.4092789401306012,-1.4926764348815305,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
13,Derby,Middlesbrough,-0.35589080359462555,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,R Madley,-1.9942097066329707,2.396327946436565,-1.0113561752659999,0.34095242350492216,0.5894105957829652,-1.8747909330482015,-0.935167346518417,1.233119072614276,0.8103100646499737,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
14,Portsmouth,Luton,-1.1878433314781656,-0.9155816545305046,D,-0.8592097001276557,-0.6519380988208883,D,J Busby,0.24112654989386723,-0.3242737358710033,0.6104176469868284,0.34095242350492216,-0.02921277005338329,-0.05207752591800542,-0.31857349167110904,-0.27682264895422526,0.8103100646499737,-0.2040839625221912,-0.21566554640687682,3.319482615714863
15,West Brom,Leeds,-1.1878433314781656,-0.9155816545305046,D,-0.8592097001276557,-0.6519380988208883,D,S Allison,-1.0628195997467882,-0.5716011615353277,-1.416799630829207,-1.1681812543037502,0.8987222787011393,-0.31246515550803344,-0.31857349167110904,-0.27682264895422526,0.04264789813947232,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
16,Bristol City,Millwall,2.1399667800559947,1.8620256120227114,H,1.854084089749152,-0.6519380988208883,H,S Gill,-0.5039855356150788,1.1596908181149432,0.6104176469868284,0.34095242350492216,-0.02921277005338329,-0.05207752591800542,-0.31857349167110904,-0.27682264895422526,-0.7250142683710291,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
17,Burnley,Cardiff,2.971919307939535,-0.9155816545305046,H,1.854084089749152,-0.6519380988208883,H,M Salisbury,-0.8765415783695518,0.17038111545764553,-0.20046926413958574,0.34095242350492216,2.4452806932920104,-1.6144033034581735,-1.243464273942071,0.10066278143790006,0.04264789813947232,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
18,Norwich,Blackburn,0.4760617242889146,0.9361565231716394,D,-0.8592097001276557,0.9338572766893806,A,J Bell,0.05484852851663072,-0.8189285871996521,-0.20046926413958574,-0.16209213576463527,0.28009891286479094,-0.05207752591800542,-0.010276564247455097,0.10066278143790006,0.04264789813947232,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
19,Plymouth,Hull,-0.35589080359462555,0.01028743432056743,D,-0.8592097001276557,-0.6519380988208883,D,L Doughty,0.4274045712711037,0.9123633924506187,1.0158611025500355,-0.6651366950341927,0.5894105957829652,0.9894729924421066,-0.010276564247455097,-0.6543080793463505,0.8103100646499737,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
20,Sheffield United,QPR,0.4760617242889146,0.9361565231716394,D,1.854084089749152,-0.6519380988208883,H,A Backhouse,0.05484852851663072,0.9123633924506187,-0.6059127197027928,-0.16209213576463527,1.2080339616193136,-0.8332404146880895,-0.626870419094763,1.6106045030064011,0.04264789813947232,-0.2040839625221912,-0.21566554640687682,3.319482615714863
21,Swansea,Preston,1.3080142521724547,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,S Martin,-0.31770751423784227,-1.313583438528301,0.6104176469868284,-0.6651366950341927,-0.02921277005338329,2.291411140392247,-0.31857349167110904,-0.6543080793463505,-0.7250142683710291,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
22,Watford,Stoke,1.3080142521724547,-0.9155816545305046,H,-0.8592097001276557,-0.6519380988208883,D,T Nield,1.9176287422889957,-0.8189285871996521,1.4213045581132426,-0.16209213576463527,0.28009891286479094,0.7290853628520787,-1.243464273942071,-0.27682264895422526,0.04264789813947232,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
23,Sunderland,Sheffield Weds,2.1399667800559947,-0.9155816545305046,H,3.210730984687556,-0.6519380988208883,H,D Whitestone,0.24112654989386723,-0.3242737358710033,0.6104176469868284,-0.16209213576463527,-0.6478361358897318,-0.5728527850980615,-0.31857349167110904,1.233119072614276,-1.4926764348815305,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
24,Sheffield Weds,Leeds,-1.1878433314781656,0.9361565231716394,A,-0.8592097001276557,0.9338572766893806,A,S Hooper,-1.0628195997467882,0.6650359667862943,-1.0113561752659999,0.8439969827744795,0.8987222787011393,-0.5728527850980615,-0.935167346518417,-1.0317935097384758,0.04264789813947232,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
25,Bristol City,Coventry,-0.35589080359462555,0.01028743432056743,D,0.4974371948107481,-0.6519380988208883,H,A Kitchen,-0.31770751423784227,-0.5716011615353277,1.0158611025500355,-1.1681812543037502,-0.9571478188079059,0.9894729924421066,0.6063172905998528,-1.0317935097384758,0.04264789813947232,1.3930948746080007,-0.21566554640687682,-0.25840283834906114
26,Hull,Millwall,-1.1878433314781656,-0.9155816545305046,D,-0.8592097001276557,-0.6519380988208883,D,D Webb,0.05484852851663072,0.6650359667862943,-0.20046926413958574,0.8439969827744795,-0.02921277005338329,0.7290853628520787,-0.31857349167110904,0.8556336422221507,0.04264789813947232,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
27,QPR,Plymouth,-0.35589080359462555,0.01028743432056743,D,0.4974371948107481,0.9338572766893806,D,G Ward,3.035296870552415,-1.0662560128639764,2.2321914692396567,-1.1681812543037502,-0.3385244529715575,0.4686977332620506,1.5312080728708148,-1.4092789401306012,0.04264789813947232,0.5945054560429048,-0.21566554640687682,6.8973680697787865
28,Blackburn,Oxford,0.4760617242889146,0.01028743432056743,H,0.4974371948107481,0.9338572766893806,D,L Smith,0.7999606140255767,0.6650359667862943,-0.20046926413958574,-0.16209213576463527,0.8987222787011393,-1.0936280442781174,0.2980203631761989,0.10066278143790006,0.04264789813947232,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
29,Middlesbrough,Portsmouth,0.4760617242889146,0.9361565231716394,D,0.4974371948107481,2.5196526521996496,A,M Donohue,2.8490188491751782,-0.8189285871996521,1.0158611025500355,-0.16209213576463527,-0.3385244529715575,0.7290853628520787,2.7643957825654306,-1.0317935097384758,-1.4926764348815305,2.191684293173097,-0.21566554640687682,-0.25840283834906114
30,Norwich,Sheffield United,-0.35589080359462555,0.01028743432056743,D,0.4974371948107481,0.9338572766893806,D,J Smith,-1.2490976211240248,0.4177085411219699,0.20497419142362136,0.34095242350492216,0.8987222787011393,-1.3540156738681455,-1.551761201365725,0.10066278143790006,2.3456343976709766,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
31,Preston,Luton,-0.35589080359462555,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,D Whitestone,-1.4353756425012614,1.6543456694435918,-1.0113561752659999,0.34095242350492216,1.5173456445374878,-0.5728527850980615,-1.243464273942071,3.120546224574902,3.1132965641814776,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
32,Stoke,West Brom,-0.35589080359462555,0.9361565231716394,A,0.4974371948107481,2.5196526521996496,A,J Bell,-1.2490976211240248,-0.5716011615353277,-1.0113561752659999,0.8439969827744795,0.28009891286479094,-0.31246515550803344,-1.243464273942071,0.10066278143790006,0.04264789813947232,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
33,Sunderland,Burnley,-0.35589080359462555,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,S Martin,0.05484852851663072,-1.5609108641926253,-0.6059127197027928,-1.1681812543037502,0.5894105957829652,1.7706358812121907,-0.935167346518417,-1.4092789401306012,0.04264789813947232,0.5945054560429048,4.636809247747852,-0.25840283834906114
34,Watford,Derby,0.4760617242889146,0.01028743432056743,H,0.4974371948107481,0.9338572766893806,D,G Eltringham,-0.31770751423784227,-0.5716011615353277,-0.6059127197027928,-0.16209213576463527,-0.3385244529715575,-0.31246515550803344,-0.626870419094763,-1.0317935097384758,0.04264789813947232,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
35,Swansea,Cardiff,-0.35589080359462555,0.01028743432056743,D,0.4974371948107481,-0.6519380988208883,H,O Langford,-0.8765415783695518,-0.8189285871996521,-0.20046926413958574,-0.16209213576463527,0.8987222787011393,0.4686977332620506,-1.243464273942071,0.10066278143790006,0.04264789813947232,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
36,Luton,QPR,-0.35589080359462555,0.9361565231716394,A,0.4974371948107481,-0.6519380988208883,H,R Madley,-0.5039855356150788,0.17038111545764553,0.20497419142362136,0.34095242350492216,0.5894105957829652,-0.5728527850980615,-0.626870419094763,0.10066278143790006,0.8103100646499737,-0.2040839625221912,-0.21566554640687682,-0.25840283834906114
37,Burnley,Blackburn,-0.35589080359462555,0.01028743432056743,D,0.4974371948107481,0.9338572766893806,D,T Harrington,0.24112654989386723,-0.07694631020667887,-0.6059127197027928,-0.16209213576463527,1.2080339616193136,1.7706358812121907,0.9146142180235068,-1.7867643705227263,1.577972231160475,2.191684293173097,-0.21566554640687682,3.319482615714863
38,Cardiff,Middlesbrough,-1.1878433314781656,0.9361565231716394,A,-0.8592097001276557,-0.6519380988208883,D,D Webb,-0.31770751423784227,-0.07694631020667887,-0.6059127197027928,0.8439969827744795,0.5894105957829652,-0.5728527850980615,-0.626870419094763,0.47814821183002537,0.04264789813947232,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
39,Coventry,Norwich,-1.1878433314781656,0.01028743432056743,A,-0.8592097001276557,-0.6519380988208883,D,A Davies,0.05484852851663072,-0.3242737358710033,0.20497419142362136,-1.1681812543037502,-0.02921277005338329,-0.5728527850980615,-0.010276564247455097,-0.6543080793463505,1.577972231160475,0.5945054560429048,-0.21566554640687682,-0.25840283834906114
40,Derby,Bristol City,1.3080142521724547,-0.9155816545305046,H,0.4974371948107481,-0.6519380988208883,H,T Nield,0.9862386354028132,0.6650359667862943,1.0158611025500355,0.8439969827744795,1.2080339616193136,-0.31246515550803344,-0.010276564247455097,1.6106045030064011,-0.7250142683710291,-1.8012627996523831,-0.21566554640687682,-0.25840283834906114
41,Leeds,Hull,0.4760617242889146,-0.9155816545305046,H,-0.8592097001276557,-0.6519380988208883,D,G Ward,0.4274045712711037,-0.3242737358710033,0.20497419142362136,-0.6651366950341927,0.28009891286479094,0.7290853628520787,0.6063172905998528,0.8556336422221507,0.04264789813947232,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
42,Millwall,Sheffield Weds,1.3080142521724547,-0.9155816545305046,H,-0.8592097001276557,-0.6519380988208883,D,L Doughty,0.7999606140255767,-1.5609108641926253,-0.20046926413958574,-1.1681812543037502,1.5173456445374878,0.2083101036720226,-0.010276564247455097,0.47814821183002537,0.04264789813947232,-1.0026733810872872,-0.21566554640687682,-0.25840283834906114
43,Oxford,Preston,1.3080142521724547,0.01028743432056743,H,0.4974371948107481,0.9338572766893806,D,K Stroud,-0.6902635569923153,-0.07694631020667887,0.20497419142362136,0.34095242350492216,-0.9571478188079059,2.291411140392247,-1.243464273942071,0.10066278143790006,0.04264789813947232,-0.2040839625221912,-0.21566554640687682,3.319482615714863
