HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Blackburn,Derby,4,2,H,1,0,H,J Smith,11,12,7,4,9,10,1,9,1,3,0,0
Preston,Sheffield United,0,2,A,0,1,A,R Madley,12,11,2,3,11,14,3,6,1,0,0,0
Cardiff,Sunderland,0,2,A,0,1,A,A Davies,12,11,4,4,10,8,4,4,0,2,0,0
Hull,Bristol City,1,1,D,0,0,D,K Stroud,11,15,5,3,10,13,2,8,0,2,0,0
Leeds,Portsmouth,3,3,D,1,2,A,O Langford,22,5,10,4,19,21,12,0,2,4,0,0
Middlesbrough,Swansea,1,0,H,1,0,H,S Allison,18,5,4,0,14,12,6,9,1,4,0,0
Millwall,Watford,2,3,A,0,1,A,J Busby,16,10,4,5,11,15,5,5,2,3,0,0
Oxford,Norwich,2,0,H,1,0,H,A Kitchen,12,10,4,2,4,14,5,5,1,3,0,0
QPR,West Brom,1,3,A,1,1,D,D Webb,11,7,6,4,7,7,12,3,1,0,0,0
Stoke,Coventry,1,0,H,0,0,D,G Ward,11,8,2,1,7,9,9,7,2,1,0,0
Sheffield Weds,Plymouth,4,0,H,1,0,H,L Smith,31,5,11,1,15,14,15,1,1,1,0,0
Luton,Burnley,1,4,A,0,2,A,M Donohue,10,11,3,6,11,17,5,4,2,3,0,0
Coventry,Oxford,3,2,H,2,1,H,D Coote,26,7,10,2,9,7,14,1,0,2,0,0
Derby,Middlesbrough,1,0,H,1,0,H,R Madley,3,20,2,4,13,5,3,8,3,1,0,0
Portsmouth,Luton,0,0,D,0,0,D,J Busby,15,9,6,4,11,12,5,4,3,2,0,1
West Brom,Leeds,0,0,D,0,0,D,S Allison,8,8,1,1,14,11,5,4,2,2,0,0
Bristol City,Millwall,4,3,H,2,0,H,S Gill,11,15,6,4,11,12,5,4,1,2,0,0
Burnley,Cardiff,5,0,H,2,0,H,M Salisbury,9,11,4,4,19,6,2,5,2,1,0,0
Norwich,Blackburn,2,2,D,0,1,A,J Bell,14,7,4,3,12,12,6,5,2,3,0,0
Plymouth,Hull,1,1,D,0,0,D,L Doughty,16,14,7,2,13,16,6,3,3,1,0,0
Sheffield United,QPR,2,2,D,2,0,H,A Backhouse,14,14,3,3,15,9,4,9,2,2,0,1
Swansea,Preston,3,0,H,1,0,H,S Martin,12,5,6,2,11,21,5,3,1,3,0,0
Watford,Stoke,3,0,H,0,0,D,T Nield,24,7,8,3,12,15,2,4,2,2,0,0
Sunderland,Sheffield Weds,4,0,H,3,0,H,D Whitestone,15,9,6,3,9,10,5,8,0,3,0,0
Sheffield Weds,Leeds,0,2,A,0,1,A,S Hooper,8,13,2,5,14,10,3,2,2,3,0,0
